chatgpt_usage_frequency_per_week,average_duration_per_session_minutes,attempt_before_chatgpt,confidence_in_solving_alone,reason_for_using_chatgpt,peer_usage_influence,cgpa,department,used_other_ai_tools,chatgpt_preferred_over_google,chatgpt_dependence
5,30,0,2,No idea,2,9.07,CIVIL,1,1,1
12,5,1,3,Save time,3,7.43,CSE,1,1,1
7,10,0,2,Better answers,5,6.94,CIVIL,0,0,1
5,45,1,1,No idea,4,9.38,ECE,1,0,1
3,30,0,2,Better answers,4,6.05,CIVIL,0,0,1
3,5,1,3,No idea,4,5.3,MECH,1,1,1
1,10,0,2,Just exploring,4,7.94,ECE,0,1,1
10,30,0,3,Just exploring,4,7.0,MECH,1,0,1
5,5,1,3,Better answers,2,6.48,CIVIL,1,1,1
7,10,0,4,Save time,3,8.21,ECE,1,1,1
0,20,0,1,Just exploring,2,7.74,CSE,1,1,1
12,30,1,4,Just exploring,5,6.94,MECH,0,1,1
7,30,1,4,Save time,5,6.22,MECH,0,1,1
3,10,0,1,Just exploring,1,8.37,MECH,1,1,1
3,30,1,5,Just exploring,4,8.15,MECH,0,0,1
3,10,0,5,Better answers,5,7.4,ECE,1,1,1
3,20,0,1,Better answers,2,9.35,MECH,0,1,1
5,30,0,3,Better answers,3,6.43,CSE,1,1,1
5,30,1,4,Save time,5,5.97,ECE,1,1,1
3,45,1,4,Better answers,1,6.81,CSE,1,1,1
5,30,1,2,Just exploring,4,7.45,CSE,0,0,1
1,30,1,2,Save time,2,7.74,CSE,1,1,1
3,5,0,3,Better answers,5,7.26,CSE,1,0,1
5,20,0,3,Better answers,5,7.85,MECH,1,0,1
5,10,0,4,Better answers,5,6.25,CSE,1,1,1
7,10,0,3,Just exploring,3,8.94,ECE,1,1,1
3,90,0,3,Better answers,5,7.42,CSE,0,0,1
5,20,1,4,Better answers,4,8.62,CSE,1,1,1
5,45,0,1,No idea,3,7.84,CSE,0,1,1
0,30,0,3,Better answers,4,7.96,CSE,0,0,1
5,45,0,4,Save time,1,8.07,ECE,0,1,1
3,20,1,5,Better answers,3,7.95,MECH,0,1,1
1,30,1,3,Save time,2,8.14,ECE,0,1,1
10,20,0,3,Save time,2,8.83,ECE,0,0,1
12,10,0,2,Better answers,1,7.7,CSE,1,1,1
7,30,1,3,Better answers,4,8.21,CIVIL,1,1,1
3,10,0,3,Just exploring,3,7.41,ECE,1,1,1
1,5,1,2,Better answers,4,8.94,ECE,1,0,1
7,30,1,3,Better answers,1,6.82,CSE,0,1,1
5,10,0,3,No idea,3,9.3,CSE,1,0,0
1,60,0,1,Save time,3,7.46,CSE,1,1,1
5,60,1,3,No idea,4,6.07,CSE,0,0,1
0,60,0,2,Save time,3,7.63,ECE,1,1,1
10,20,0,3,Just exploring,4,6.82,ECE,0,1,1
3,5,1,2,Save time,5,8.34,ECE,1,1,1
7,60,1,5,Better answers,4,6.85,MECH,1,0,1
3,20,1,4,Save time,2,7.05,MECH,0,1,1
5,60,1,4,Just exploring,1,5.61,MECH,0,1,1
5,60,0,4,Better answers,5,7.05,CIVIL,1,1,1
3,45,0,3,Better answers,1,5.08,CSE,1,1,1
12,10,1,1,Save time,5,5.92,CSE,0,1,1
7,20,0,3,No idea,3,8.26,CSE,1,1,1
10,45,0,4,Save time,5,8.29,ECE,0,1,1
10,20,1,4,Just exploring,4,7.93,CIVIL,1,1,1
5,10,0,3,Save time,5,6.53,CSE,1,1,1
10,30,0,2,Save time,3,7.45,CIVIL,0,1,1
1,60,0,3,Save time,4,7.5,CSE,0,1,1
3,30,0,3,Better answers,3,6.34,CIVIL,0,0,0
0,30,0,4,Better answers,3,9.0,CSE,0,1,1
3,5,0,4,Save time,4,8.38,CSE,0,1,1
5,30,0,3,No idea,5,7.28,ECE,1,1,1
3,90,1,5,Better answers,5,7.53,CSE,0,0,1
7,10,1,4,Better answers,4,7.71,CSE,1,1,1
5,20,0,2,Better answers,3,5.46,CSE,1,1,1
3,45,1,2,Better answers,3,7.25,MECH,1,1,1
5,30,0,2,Better answers,4,6.82,ECE,1,0,1
1,30,0,2,Save time,2,6.5,CSE,0,1,1
7,30,1,2,Save time,2,7.22,ECE,1,1,1
1,20,0,2,Just exploring,3,9.3,MECH,1,1,1
12,10,1,3,Just exploring,2,8.14,CSE,1,1,1
7,45,0,2,Better answers,2,6.93,ECE,0,1,1
3,45,1,5,Save time,2,8.07,CSE,1,1,1
0,45,0,1,No idea,1,8.9,CSE,1,0,1
7,60,1,3,Better answers,1,8.42,MECH,0,1,1
7,20,0,3,Save time,5,7.56,CSE,0,1,1
7,20,1,5,Save time,3,6.85,ECE,1,0,1
7,45,0,2,No idea,3,8.2,MECH,1,0,1
1,30,0,3,No idea,4,7.89,CSE,1,1,1
5,30,1,5,Save time,2,8.4,ECE,1,1,1
1,45,0,5,Save time,5,8.14,CSE,0,1,1
10,45,1,4,Save time,4,8.55,CIVIL,1,1,1
5,20,1,3,No idea,1,6.96,ECE,1,1,1
3,20,0,2,Save time,3,8.82,MECH,0,1,1
1,5,1,4,Save time,5,7.7,ECE,0,0,1
3,30,0,5,No idea,5,9.58,CSE,1,1,1
3,5,1,4,Save time,3,6.81,ECE,0,1,1
7,20,0,4,No idea,4,9.24,CIVIL,1,0,1
5,20,0,3,Save time,2,7.7,ECE,0,0,0
10,10,1,4,Save time,5,6.85,MECH,0,1,1
5,30,1,2,Save time,2,7.02,CIVIL,0,1,1
1,5,0,3,No idea,5,7.18,CSE,1,1,1
7,5,1,3,Just exploring,4,7.92,CSE,1,1,1
