chatgpt_usage_frequency_per_week,average_duration_per_session_minutes,attempt_before_chatgpt,confidence_in_solving_alone,peer_usage_influence,reason_for_using_chatgpt,cgpa,department,used_other_ai_tools,chatgpt_preferred_over_google,chatgpt_dependence
24,238,2,5,4,Better answers,9.86,ELECTRICAL,0,0,1
40,55,19,2,2,No idea,7.26,MECH,1,1,1
35,222,14,5,4,Save time,5.76,CIVIL,0,1,1
45,12,13,2,3,Better answers,7.23,COMPUTER,1,0,1
6,64,1,4,2,Save time,8.05,CIVIL,0,1,0
26,97,20,3,5,No idea,8.14,COMPUTER,1,0,1
46,50,5,5,1,Save time,8.17,CIVIL,1,0,0
21,120,9,5,1,Better answers,5.07,IT,0,1,1
41,273,18,2,3,Save time,5.26,IT,1,0,1
23,49,0,2,2,Save time,5.42,IT,0,1,0
21,263,2,4,2,No idea,6.28,IT,0,1,0
10,118,12,3,3,Save time,6.92,MECH,0,0,0
27,295,0,5,2,No idea,4.95,MECH,0,1,0
19,45,6,2,4,Better answers,7.5,EXTC,1,0,1
32,286,8,5,3,Save time,9.44,ELECTRICAL,1,0,0
49,247,8,3,1,Save time,7.17,IT,1,0,0
21,299,4,3,4,Better answers,6.58,COMPUTER,0,1,1
29,229,1,1,2,No idea,5.66,IT,1,1,1
15,260,2,4,5,No idea,6.8,MECH,1,0,0
31,90,2,4,2,No idea,6.58,ELECTRICAL,0,1,1
36,115,7,3,1,Save time,8.97,COMPUTER,1,1,1
30,75,2,3,1,Better answers,8.24,ELECTRICAL,0,0,1
47,66,2,5,4,No idea,7.32,MECH,0,0,1
11,12,15,4,3,Save time,6.27,IT,0,0,0
47,237,14,2,3,Better answers,5.39,CIVIL,1,0,1
8,259,11,5,3,Save time,4.66,ELECTRICAL,1,0,1
13,284,5,5,5,Better answers,8.24,EXTC,1,1,1
32,48,1,3,5,Better answers,5.2,ELECTRICAL,1,1,1
13,253,4,5,1,Save time,7.93,ELECTRICAL,1,1,1
36,21,4,3,2,No idea,5.59,CIVIL,0,1,1
1,110,16,5,2,Better answers,6.71,EXTC,0,1,0
6,226,14,3,2,Better answers,6.71,CIVIL,0,1,0
22,293,20,2,5,No idea,9.25,COMPUTER,1,0,1
26,231,8,3,3,Better answers,6.25,ELECTRICAL,1,1,0
8,216,0,4,1,Better answers,4.33,ELECTRICAL,1,1,1
9,115,12,2,1,No idea,4.86,ELECTRICAL,0,1,1
45,25,6,3,3,Save time,7.07,IT,0,1,0
22,244,4,5,4,No idea,6.3,EXTC,1,1,0
16,159,16,1,3,Save time,8.44,IT,0,1,1
46,283,19,3,3,Better answers,7.27,EXTC,0,0,0
17,72,12,4,1,No idea,8.47,CIVIL,1,0,0
12,176,13,4,1,No idea,9.94,ELECTRICAL,1,0,1
47,46,16,1,1,Better answers,6.35,EXTC,0,0,0
16,156,15,2,4,Save time,6.29,IT,1,0,0
43,32,20,1,2,Better answers,4.91,IT,0,1,0
3,213,13,2,1,No idea,9.91,MECH,0,1,1
20,253,0,5,3,Better answers,5.83,MECH,1,1,0
32,134,16,3,4,Save time,4.17,EXTC,0,0,1
25,160,12,3,5,Better answers,4.8,CIVIL,1,1,1
46,222,10,3,3,Better answers,6.97,ELECTRICAL,1,1,0
48,167,13,5,3,Better answers,7.56,COMPUTER,1,1,0
29,267,9,3,4,Better answers,4.82,COMPUTER,0,1,0
49,174,1,3,1,No idea,9.35,MECH,0,0,0
40,234,5,4,5,No idea,8.97,ELECTRICAL,0,0,1
41,209,17,5,1,Save time,4.57,IT,1,0,1
29,269,3,3,5,Save time,9.17,MECH,1,1,0
6,94,7,1,3,No idea,7.45,ELECTRICAL,1,1,1
29,202,20,1,5,Better answers,8.42,COMPUTER,0,0,0
20,272,0,5,3,Save time,5.48,EXTC,1,0,0
4,49,18,1,4,No idea,7.13,MECH,0,0,1
20,162,0,4,4,No idea,6.82,MECH,1,1,0
31,163,5,5,4,No idea,9.33,CIVIL,0,0,1
26,96,9,3,4,Better answers,8.79,CIVIL,0,0,1
11,299,3,3,2,No idea,5.18,ELECTRICAL,1,1,0
13,242,17,2,4,Save time,8.36,IT,0,1,1
28,102,18,1,4,Better answers,8.64,IT,1,0,0
7,276,12,4,4,No idea,6.31,EXTC,0,1,1
46,189,1,1,5,Better answers,7.58,ELECTRICAL,0,1,1
33,82,16,4,4,Better answers,6.25,ELECTRICAL,0,1,1
3,68,2,2,1,No idea,4.97,COMPUTER,0,0,1
13,139,8,4,4,No idea,4.04,IT,1,1,1
31,162,17,5,3,No idea,7.28,COMPUTER,0,1,0
2,28,6,3,1,Better answers,9.09,EXTC,0,0,0
49,48,11,5,2,Save time,4.93,IT,0,0,1
4,198,19,4,4,Save time,6.4,MECH,1,1,1
46,296,0,5,3,No idea,4.3,EXTC,1,1,1
37,93,5,1,4,Better answers,9.19,EXTC,1,1,1
35,114,18,3,5,Save time,7.93,MECH,0,0,0
26,69,18,3,1,Better answers,6.02,IT,0,0,0
33,4,16,3,3,Save time,6.88,MECH,0,0,0
16,237,11,1,2,Better answers,6.24,COMPUTER,0,1,0
35,237,17,4,1,Save time,6.64,ELECTRICAL,0,0,0
6,121,4,2,2,Better answers,9.41,EXTC,0,1,1
44,171,12,4,2,Better answers,9.46,CIVIL,1,0,0
3,257,6,4,4,Better answers,4.5,IT,0,0,0
8,14,1,2,3,No idea,9.98,ELECTRICAL,0,1,1
8,64,4,1,3,No idea,8.48,ELECTRICAL,0,1,1
32,216,14,4,4,Save time,6.61,IT,1,0,1
50,261,13,3,4,No idea,8.1,ELECTRICAL,1,1,0
49,71,9,1,4,No idea,4.0,MECH,0,1,0
43,126,19,4,3,Better answers,8.62,ELECTRICAL,0,1,0
